event_ts,feature_key,scope,oblast,value_bool
2023-06-04T04:36:02+00:00,tu_95_takeoff,national,,false
2023-06-06T03:10:33+00:00,tu_95_takeoff,national,,false
2023-06-09T04:29:35+00:00,tu_95_takeoff,national,,true
2023-06-13T06:05:50+00:00,tu_95_takeoff,national,,false
2023-06-14T05:05:20+00:00,mass_attack_active,oblast,donetsk,true
2023-06-15T03:34:26+00:00,tu_95_takeoff,national,,true
2023-06-16T10:07:58+00:00,mass_attack_active,oblast,kyiv,true
2023-06-22T07:34:40+00:00,mig_31_airborne,national,,true
2023-06-22T18:42:14+00:00,tu_95_takeoff,national,,true
2023-06-22T18:49:33+00:00,tu_95_takeoff,national,,true
2023-06-23T04:02:18+00:00,tu_95_takeoff,national,,true
2023-06-23T18:37:24+00:00,mig_31_airborne,national,,true
2023-06-23T18:48:14+00:00,tu_95_takeoff,national,,true
2023-06-23T18:51:58+00:00,mig_31_airborne,national,,false
2023-06-23T18:56:27+00:00,tu_95_takeoff,national,,false
2023-06-23T19:44:15+00:00,mig_31_airborne,national,,true
2023-06-23T20:09:24+00:00,mig_31_airborne,national,,false
2023-06-24T07:11:09+00:00,mass_attack_active,national,,true
2023-06-24T07:11:09+00:00,tu_95_takeoff,national,,true
2023-07-07T18:20:55+00:00,mig_31_airborne,national,,true
2023-07-11T12:04:08+00:00,mig_31_airborne,national,,true
2023-07-11T16:13:10+00:00,mig_31_airborne,national,,true
2023-07-14T15:36:30+00:00,mig_31_airborne,national,,true
2023-07-20T15:52:53+00:00,mig_31_airborne,national,,true
2023-07-20T16:12:33+00:00,mig_31_airborne,national,,false
2023-07-20T20:11:30+00:00,mig_31_airborne,national,,true
2023-07-20T20:27:47+00:00,mig_31_airborne,national,,false
2023-07-26T10:41:40+00:00,tu_95_takeoff,national,,true
2023-07-26T13:55:57+00:00,tu_95_takeoff,national,,true
2023-07-26T13:57:09+00:00,tu_95_takeoff,national,,false
2023-07-26T18:45:58+00:00,mass_attack_active,oblast,khmelnytskyi,true
2023-07-26T18:45:58+00:00,mig_31_airborne,national,,true
2023-07-26T18:45:58+00:00,tu_95_takeoff,national,,true
2023-07-28T17:48:53+00:00,mig_31_airborne,national,,true
2023-08-01T08:37:09+00:00,mig_31_airborne,national,,true
2023-08-01T10:17:03+00:00,mig_31_airborne,national,,false
2023-08-01T12:31:00+00:00,mig_31_airborne,national,,true
2023-08-02T04:31:20+00:00,mig_31_airborne,national,,true
