pr_auc,roc_auc,f1_macro,n_pos,n,pos_rate,oblast,oblast_id,horizon,threshold,active
0.23574896424855823,0.549377785495167,0.34334196759634994,886,4201,0.2109021693468094,Kirovohrad,11,2,0.59,True
0.22751131975242223,0.5332281271598759,0.3148985579766183,886,4201,0.2109021693468094,Kirovohrad,11,3,0.59,True
0.22635308061167936,0.5301143914456871,0.2599149132414827,885,4201,0.21066412329673767,Kirovohrad,11,4,0.55,True
0.22871569631604755,0.532125741927299,0.26219478488394854,884,4201,0.21042609214782715,Kirovohrad,11,5,0.55,True
0.22774183025632727,0.5293063266564134,0.2749804176293174,883,4201,0.21018804609775543,Kirovohrad,11,6,0.5800000000000001,True
0.40144672430335177,0.6967300139440323,0.6231007382916108,907,4201,0.2159009724855423,Kyiv,12,1,0.6,True
0.2582677618155187,0.5565282237792947,0.501259780993323,907,4201,0.2159009724855423,Kyiv,12,2,0.59,True
0.24022678703676242,0.5403752424403823,0.4798403722392772,906,4201,0.21566294133663177,Kyiv,12,3,0.59,True
0.24226605451644548,0.5458053961272328,0.39869957965750347,905,4201,0.21542489528656006,Kyiv,12,4,0.55,True
0.24875327410658124,0.5512308722598447,0.40115141745576527,904,4201,0.21518686413764954,Kyiv,12,5,0.55,True
0.2515675220116649,0.5522899270186628,0.44005930389434306,904,4201,0.21518686413764954,Kyiv,12,6,0.5800000000000001,True
0.2417400807957523,0.6664911810073101,0.6005357455770572,481,4201,0.11449655145406723,Kyiv City,13,1,0.6,True
0.13619473603896645,0.5466870095902354,0.5205087077464491,481,4201,0.11449655145406723,Kyiv City,13,2,0.59,True
0.13451294388236995,0.5505281335926497,0.5146307835691564,481,4201,0.11449655145406723,Kyiv City,13,3,0.59,True
0.13513193210922103,0.547850021237118,0.5184872735332079,481,4201,0.11449655145406723,Kyiv City,13,4,0.55,True
0.14200922376930286,0.5456723783336687,0.5166580352117225,481,4201,0.11449655145406723,Kyiv City,13,5,0.55,True
0.1437858462626565,0.5445694453758969,0.5140935333090141,481,4201,0.11449655145406723,Kyiv City,13,6,0.5800000000000001,True
,,,0,4201,0.0,Luhansk,14,1,0.6,False
,,,0,4201,0.0,Luhansk,14,2,0.59,False
,,,0,4201,0.0,Luhansk,14,3,0.59,False
,,,0,4201,0.0,Luhansk,14,4,0.55,False
,,,0,4201,0.0,Luhansk,14,5,0.55,False
,,,0,4201,0.0,Luhansk,14,6,0.5800000000000001,False
0.387356092452129,0.7517599077598097,0.648299958005228,587,4201,0.1397286355495453,Lviv,15,1,0.6,True
0.21131238570028515,0.6270598250792631,0.5230454045048596,587,4201,0.1397286355495453,Lviv,15,2,0.59,True
0.19659428877353097,0.6055760816585888,0.49327986960359654,587,4201,0.1397286355495453,Lviv,15,3,0.59,True
0.17784708663751742,0.5853391457977636,0.48444474540110094,587,4201,0.1397286355495453,Lviv,15,4,0.55,True
0.1634314692325736,0.5678567354477052,0.4649260771243377,587,4201,0.1397286355495453,Lviv,15,5,0.55,True
0.16290956801980952,0.5586951746426212,0.4624440179142674,587,4201,0.1397286355495453,Lviv,15,6,0.5800000000000001,True
0.4629024078147362,0.6437851574625303,0.5594335213259761,1430,4201,0.34039515256881714,Mykolaiv,16,1,0.6,True
0.37551746806521363,0.560006107209283,0.46100863296911543,1430,4201,0.34039515256881714,Mykolaiv,16,2,0.59,True
0.37683555360198817,0.5689148094777831,0.4513899166833532,1430,4201,0.34039515256881714,Mykolaiv,16,3,0.59,True
0.3784810045457733,0.5672026457843853,0.38881096539117926,1430,4201,0.34039515256881714,Mykolaiv,16,4,0.55,True
0.37644458692982635,0.5613206713892387,0.39336369625497825,1430,4201,0.34039515256881714,Mykolaiv,16,5,0.55,True
0.3715569057673699,0.5477185127290096,0.4025907194938363,1429,4201,0.34015709161758423,Mykolaiv,16,6,0.5800000000000001,True
0.3731270872151156,0.6321050784579135,0.5821604530980988,1090,4201,0.25946202874183655,Odesa,17,1,0.6,True
0.2941061389462428,0.554139932864518,0.5284280607133995,1089,4201,0.259223997592926,Odesa,17,2,0.59,True
0.29346878547889654,0.5507145538110716,0.5211662839930757,1089,4201,0.259223997592926,Odesa,17,3,0.59,True
0.28646496043358366,0.5451128485131758,0.525157057176906,1089,4201,0.259223997592926,Odesa,17,4,0.55,True
0.28639948112991004,0.54381339047826,0.5287123844526429,1088,4201,0.2589859664440155,Odesa,17,5,0.55,True
0.28492225864194587,0.5394287247135676,0.5218880246163982,1087,4201,0.2587479054927826,Odesa,17,6,0.5800000000000001,True
0.45120111292857346,0.6326882100395803,0.4385736729565376,1438,4201,0.3422994613647461,Poltava,18,1,0.6,True
0.37226248793880173,0.5472288793348625,0.32876824123587367,1438,4201,0.3422994613647461,Poltava,18,2,0.59,True
0.37007518764089153,0.537487598138928,0.29694744996176925,1438,4201,0.3422994613647461,Poltava,18,3,0.59,True
0.3718005272075403,0.5411189395015141,0.26920468466883507,1437,4201,0.3420614004135132,Poltava,18,4,0.55,True
0.3717321096756761,0.5450253617895803,0.26987744805942876,1436,4201,0.34182336926460266,Poltava,18,5,0.55,True
0.36678425771608525,0.539378774675485,0.2725113819451226,1436,4201,0.34182336926460266,Poltava,18,6,0.5800000000000001,True
